Series_Title,IMDB_Rating,Runtime,prediction
The Shawshank Redemption,9.3,142,1
The Godfather,9.2,175,2
The Dark Knight,9.0,152,1
The Godfather: Part II,9.0,202,2
12 Angry Men,9.0,96,0
The Lord of the Rings: The Return of the King,8.9,201,2
Pulp Fiction,8.9,154,2
Schindler's List,8.9,195,2
Inception,8.8,148,1
Fight Club,8.8,139,1
The Lord of the Rings: The Fellowship of the Ring,8.8,178,2
Forrest Gump,8.8,142,1
"Il buono, il brutto, il cattivo",8.8,161,2
The Lord of the Rings: The Two Towers,8.7,179,2
The Matrix,8.7,136,1
Goodfellas,8.7,146,1
Star Wars: Episode V - The Empire Strikes Back,8.7,124,1
One Flew Over the Cuckoo's Nest,8.7,133,1
Hamilton,8.6,160,2
Gisaengchung,8.6,132,1
Soorarai Pottru,8.6,153,1
Interstellar,8.6,169,2
Cidade de Deus,8.6,130,1
Sen to Chihiro no kamikakushi,8.6,125,1
Saving Private Ryan,8.6,169,2
The Green Mile,8.6,189,2
La vita è bella,8.6,116,1
Se7en,8.6,127,1
The Silence of the Lambs,8.6,118,1
Star Wars,8.6,121,1
Seppuku,8.6,133,1
Shichinin no samurai,8.6,207,2
It's a Wonderful Life,8.6,130,1
Joker,8.5,122,1
Whiplash,8.5,106,0
The Intouchables,8.5,112,0
The Prestige,8.5,130,1
The Departed,8.5,151,1
The Pianist,8.5,150,1
Gladiator,8.5,155,2
American History X,8.5,119,1
The Usual Suspects,8.5,106,0
Léon,8.5,110,0
The Lion King,8.5,88,0
Terminator 2: Judgment Day,8.5,137,1
Nuovo Cinema Paradiso,8.5,155,2
Hotaru no haka,8.5,89,0
Back to the Future,8.5,116,1
Once Upon a Time in the West,8.5,165,2
Psycho,8.5,109,0
Casablanca,8.5,102,0
Modern Times,8.5,87,0
City Lights,8.5,87,0
Capharnaüm,8.4,126,1
Ayla: The Daughter of War,8.4,125,1
Vikram Vedha,8.4,147,1
Kimi no na wa.,8.4,106,0
Dangal,8.4,161,2
Spider-Man: Into the Spider-Verse,8.4,117,1
Avengers: Endgame,8.4,181,2
Avengers: Infinity War,8.4,149,1
Coco,8.4,105,0
Django Unchained,8.4,165,2
The Dark Knight Rises,8.4,164,2
3 Idiots,8.4,170,2
Taare Zameen Par,8.4,165,2
WALL·E,8.4,98,0
The Lives of Others,8.4,137,1
Oldeuboi,8.4,101,0
Memento,8.4,113,0
Mononoke-hime,8.4,134,1
Once Upon a Time in America,8.4,229,2
Raiders of the Lost Ark,8.4,115,0
The Shining,8.4,146,1
Apocalypse Now,8.4,147,1
Alien,8.4,117,1
Anand,8.4,122,1
Tengoku to jigoku,8.4,143,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,95,0
Witness for the Prosecution,8.4,116,1
Paths of Glory,8.4,88,0
Rear Window,8.4,112,0
Sunset Blvd.,8.4,110,0
The Great Dictator,8.4,125,1
1917,8.3,119,1
Tumbbad,8.3,104,0
Andhadhun,8.3,139,1
Drishyam,8.3,160,2
Jagten,8.3,115,0
Jodaeiye Nader az Simin,8.3,123,1
Incendies,8.3,131,1
Miracle in cell NO.7,8.3,132,1
Babam ve Oglum,8.3,112,0
Inglourious Basterds,8.3,153,1
Eternal Sunshine of the Spotless Mind,8.3,108,0
Amélie,8.3,122,1
Snatch,8.3,104,0
Requiem for a Dream,8.3,102,0
American Beauty,8.3,122,1
Good Will Hunting,8.3,126,1
Bacheha-Ye aseman,8.3,89,0
Toy Story,8.3,81,0
Braveheart,8.3,178,2
Reservoir Dogs,8.3,99,0
Full Metal Jacket,8.3,116,1
Idi i smotri,8.3,142,1
Aliens,8.3,137,1
Amadeus,8.3,160,2
Scarface,8.3,170,2
Star Wars: Episode VI - Return of the Jedi,8.3,131,1
Das Boot,8.3,149,1
Taxi Driver,8.3,114,0
The Sting,8.3,129,1
A Clockwork Orange,8.3,136,1
2001: A Space Odyssey,8.3,149,1
Per qualche dollaro in più,8.3,132,1
Lawrence of Arabia,8.3,228,2
The Apartment,8.3,125,1
North by Northwest,8.3,136,1
Vertigo,8.3,128,1
Singin' in the Rain,8.3,103,0
Ikiru,8.3,143,1
Ladri di biciclette,8.3,89,0
Double Indemnity,8.3,107,0
Citizen Kane,8.3,119,1
M - Eine Stadt sucht einen Mörder,8.3,117,1
Metropolis,8.3,153,1
